time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2020-08-19,27.8,,,66,,,9.3,,999.7,,
2020-08-20,28.0,,,94,,,11.3,,1003.2,,
2020-08-21,27.4,,,99,,,7.8,,1005.9,,
2020-08-22,29.1,,,92,,,5.7,,1004.2,,
2020-08-23,29.7,24.4,33.6,71,80.0,,6.1,,1003.3,,
2020-08-24,30.0,27.6,33.5,,0.0,,,,,,
2020-08-26,30.0,27.1,34.0,,2.0,,,,,,
2020-08-27,28.9,,34.0,,0.0,,,,,,
2020-08-28,28.5,26.0,33.0,,16.0,,,,,,
2020-08-29,30.0,25.7,33.8,77,0.8,,5.4,,1003.2,,
2020-08-30,29.4,27.0,33.8,,0.0,,,,,,
2020-08-31,29.7,26.4,33.0,82,3.0,,15.2,,1004.9,,
2020-09-01,30.1,26.7,33.6,84,0.0,,10.6,,1006.3,,
2020-09-02,30.8,,,89,,,6.5,,1008.2,,
2020-09-03,29.6,,,96,,,7.2,,1009.7,,
2020-09-04,30.2,,,67,,,5.7,,1008.2,,
2020-09-05,29.5,,,76,,,4.8,,1005.7,,
2020-09-06,29.2,,,82,,,5.5,,1004.8,,
2020-09-07,30.4,,,73,,,7.6,,1005.1,,
2020-09-13,31.0,,,88,,,4.8,,1006.1,,
2020-09-14,31.1,,,86,,,6.2,,1005.3,,
2020-09-15,31.2,,,86,,,8.2,,1004.5,,
2020-09-16,32.3,,,81,,,10.8,,1004.1,,
2020-09-17,31.6,,,77,,,10.3,,1003.5,,
2020-09-18,31.8,,,79,,,12.3,,1002.8,,
2020-09-19,30.8,,,81,,,6.1,,1003.4,,
2020-09-20,31.2,,,76,,,9.5,,1002.8,,
2020-09-21,31.7,,,72,,,5.3,,1001.8,,
2020-09-22,31.4,,,78,,,8.7,,1002.5,,
2020-09-23,29.4,26.0,35.6,81,0.0,,7.4,,1002.4,,
2020-09-24,27.8,,34.4,92,0.3,,6.5,,1004.6,,
2020-09-25,28.9,,34.4,89,0.5,,7.8,,1003.6,,
2020-09-26,28.3,23.1,35.4,77,0.0,,7.5,,1003.5,,
2020-09-27,28.6,,,71,,,8.8,,1006.3,,
2020-09-28,28.6,,,64,,,9.6,,1007.5,,
2020-10-01,28.7,,,63,,,9.3,,1005.4,,
